iShares Core SPI (CH) (CHSPI/CH0237935652)
          26.10.2016;
          Date;Price;Volume;
          26.10.2016;99;0.0;
            25.10.2016;99;6974.0;
            24.10.2016;99.47;14717.0;
            21.10.2016;100.05;5679.0;
            20.10.2016;100.51;6053.0;
            19.10.2016;100.71;6438.0;
            18.10.2016;100.44;56213.0;
            17.10.2016;99.79;25963.0;
            14.10.2016;100.94;5015.0;
            13.10.2016;99.52;27825.0;
            12.10.2016;100.42;57594.0;
            11.10.2016;101.25;18304.0;
            10.10.2016;101.65;20984.0;
            07.10.2016;100.74;10622.0;
            06.10.2016;101.62;70404.0;
            05.10.2016;102.06;29690.0;
            04.10.2016;101.93;8019.0;
            03.10.2016;101.67;17130.0;
            30.09.2016;100.8;43779.0;
            29.09.2016;101.36;28978.0;
            28.09.2016;101.99;5337.0;
            27.09.2016;101.46;38504.0;
            26.09.2016;101.45;4205.0;
            23.09.2016;102.48;5304.0;
            22.09.2016;103.09;60539.0;
            21.09.2016;102.13;5458.0;
            20.09.2016;102.3;8792.0;
            19.09.2016;101.77;18926.0;
            16.09.2016;100.91;22655.0;
            15.09.2016;100.89;25830.0;
            14.09.2016;101.19;102999.0;
            13.09.2016;101.46;144716.0;
            12.09.2016;101.63;14994.0;
            09.09.2016;102.05;36735.0;
            08.09.2016;102.93;120068.0;
            07.09.2016;103.06;65054.0;
            06.09.2016;102.8;35458.0;
            05.09.2016;102.96;49708.0;
            02.09.2016;102.45;7716.0;
            01.09.2016;100.95;12447.0;
            31.08.2016;101.5;14740.0;
            30.08.2016;102.12;7353.0;
            29.08.2016;101.48;8920.0;
            26.08.2016;101.13;31152.0;
            25.08.2016;100.93;25951.0;
            24.08.2016;101.59;12560.0;
            23.08.2016;101.75;53540.0;
            22.08.2016;101.12;11702.0;
            19.08.2016;100.84;5298.0;
            18.08.2016;101.58;193948.0;
            17.08.2016;101.04;42694.0;
            16.08.2016;101.95;36060.0;
            15.08.2016;103.01;6064.0;
            12.08.2016;102.85;39795.0;
            11.08.2016;102.9;3766.0;
            10.08.2016;101.85;14688.0;
            09.08.2016;102.06;81262.0;
            08.08.2016;101.21;4358.0;
            05.08.2016;101.53;7091.0;
            04.08.2016;99.98;31448.0;
            03.08.2016;99.15;214334.0;
            02.08.2016;99.41;143791.0;
            29.07.2016;100.82;94471.0;
            28.07.2016;100.16;9550.0;
            27.07.2016;101.61;13664.0;
            26.07.2016;101.5;3142.0;
            25.07.2016;101;15723.0;
            22.07.2016;101.17;14511.0;
            21.07.2016;100.94;17565.0;
            20.07.2016;101.27;48416.0;
            19.07.2016;100.14;49529.0;
            18.07.2016;101.81;14590.0;
            15.07.2016;101.29;5957.0;
            14.07.2016;101.7;26446.0;
            13.07.2016;100.99;42364.0;
            12.07.2016;101.07;38246.0;
            11.07.2016;100.9;7857.0;
            08.07.2016;99.6;5031.0;
            07.07.2016;98.88;8995.0;
            06.07.2016;97.92;9177.0;
            05.07.2016;98.34;10797.0;
            04.07.2016;99.8;39154.0;
            01.07.2016;100.33;188457.0;
            30.06.2016;99.55;40889.0;
            29.06.2016;98.75;39571.0;
            28.06.2016;96.63;41403.0;
            27.06.2016;94;156786.0;
            24.06.2016;96.66;218419.0;
            23.06.2016;99.64;60456.0;
            22.06.2016;99.23;72961.0;
            21.06.2016;98.95;7321.0;
            20.06.2016;98.13;26267.0;
            17.06.2016;96;35893.0;
            16.06.2016;94.87;1221769.0;
            15.06.2016;95.92;16057.0;
            14.06.2016;95.5;81749.0;
            13.06.2016;97.2;6312.0;
            10.06.2016;98.57;36065.0;
            09.06.2016;100.49;9158.0;
            08.06.2016;101.12;62908.0;
            07.06.2016;102.02;82270.0;
            06.06.2016;101.71;101020.0;
            03.06.2016;101.37;4276.0;
            02.06.2016;102.04;3842.0;
            01.06.2016;101.85;10069.0;
            31.05.2016;101.91;54184.0;
            30.05.2016;102.88;8354.0;
            27.05.2016;102.88;11067.0;
            
